term	year	subject	label	number	description	prereq	hours	geneds
Fall	2023	FAA	Special Topics	499	Special topics in subject areas within the College of Fine and Applied Arts intended to augment the existing curriculum. 0 to 4 undergraduate hours. 0 to 4 graduate hours. Approved for Letter and S/U grading. May be repeated in separate terms if topics vary to a maximum of 8 credit hours.		0 TO 4 hours	
Fall	2023	FAA	Crip* Graduate Directed Research	597	Directed research project or creative project in the area of Cripistemology and the Arts. 1 to 4 graduate hours. No professional credit. Approved for Letter and S/U grading. May be repeated in separate terms to a maximum of eight (8) hours. 	Instructor approval required. Restricted to graduate students in good standing.	1 TO 4 hours	
Fall	2023	FIN	Undergraduate Open Seminar	199	Approved for letter and S/U grading. Course may be repeated for credit.		0 TO 5 hours	
Fall	2023	FIN	Corporate Finance	221	Introductory study of corporate financial management, in particular how the financial manager's choices add value to shareholder wealth through investment financing and operating decisions. 	Completion of ECON 102 or ECON 103.	3 hours	
Fall	2023	FIN	Introduction to Insurance	230	Introductory course on the role of insurance in society; covers insurance terminology, common personal insurance policies (auto, health, life and homeowners) and current issues.		3 hours	
Fall	2023	FIN	Fundamentals of Real Estate	241	A survey of real estate finance, appraisal, investment, law, brokerage, management, development and economics. Special attention is given to the analysis of aggregate real estate and mortgage markets, to the individual transactions within these markets, and to the legal and institutional factors which affect these markets. 	ECON 102.	3 hours	
Fall	2023	FIN	Financial Markets	300	Theory and applications associated with the functioning of financial markets to include the conceptual foundations of portfolio theory, risk management, and asset valuation. The stock, money, bond, mortgage, and futures and options markets are examined. 	FIN 221.	3 hours	
Fall	2023	FIN	Advanced Corporate Finance	321	Theories of firms' investment and financing decisions are covered. Topics include dividend policy, capital budgeting, capital structure, bankruptcy, long- term debt and leasing decisions. 	FIN 300.	3 hours	
Fall	2023	FIN	Finance Academy	390	The Finance Academy is an enrichment program for outstanding undergraduate Finance majors. A select program that focuses on developing future business leaders via enhanced academic and career opportunities. Students are normally invited to participate by the faculty during their junior year, when they are enrolled in FIN 300. If inducted, students participate throughout their junior and senior years. Approved for letter and S/U grading. May be repeated in separate terms. Course will not satisfy Finance major requirements. 	Induction into the Finance Academy.	1 hours	
Fall	2023	FIN	Investment Banking Academy	391	A diversified curriculum designed to prepare students for a successful career in investment banking; course incorporates peer mentorship, guest lectures (from bankers, accountants, private equity associates and hedge fund analysts), a case competition and a field trip. Course will not satisfy Finance major requirements. May be repeated for a maximum of 6 hours in separate terms. 	Admission by application only.	1 hours	
Fall	2023	FIN	Investment Management Academy	392	Overview of security analysis with the objective of how to value an investment proposition for inclusion in a portfolio of securities managed by students in the class. Focus will be in areas of fundamental securities analysis with the emphasis on equity valuation. Course will not satisfy Finance major requirements. May be repeated to a maximum of 6 hours in separate terms. 	Admission by application only. Primarily for Finance majors with sophomore standing or above who show interest in pursuing their CFA credential.	1 hours	
Fall	2023	FIN	Risk Management Academy	393	The Risk Management Academy is an enrichment program for outstanding undergraduates from across campus. The nature of risk management requires a knowledge base that includes majors from a number of colleges and departments including Finance, Actuarial Science, Atmospheric Sciences, Financial Planning, Engineering, Math and Statistics. RMA provides a select program that focuses on developing future business leaders in risk management via enhanced academic and career opportunities. Students are normally invited to participate by the faculty during their freshman or sophomore year, when they are enrolled in FIN 230 and other basic RM courses. If inducted/accepted, students participate throughout their sophomore, junior and senior years. Approved for Letter and S/U grading. May be repeated in separate terms to a maximum of 8 hours. 	Acceptance into the Risk Management Academy. Restricted to students accepted in the Risk Management Academy.	1 hours	
Fall	2023	FIN	Women in Finance Academy	394	Given the unique challenges women face in the business world, this course provides the tools for women to thrive in careers in finance. The course includes a mentoring program, soft and technical skills development, panel discussions with women leaders, and networking opportunities. Admission by application process in the prior semester. May be repeated in separate terms. 	Instructor approval required. Students accepted into the Academy will be allowed to participate in their Freshman, Sophomore, Junior, and Senior years.	1 hours	
Fall	2023	FIN	Investment & Portfolio Mngt	411	Current theories of portfolio management are covered in considerable detail to provide a conceptual framework for the evaluation of investment strategies. Applications and implementation are covered in depth, including performance evaluation and international diversification. 3 undergraduate hours. No graduate credit. 	FIN 300.	3 hours	
Fall	2023	FIN	Options and Futures Markets	412	Introduction of options and futures markets for financial assets; examination of institutional aspects of the markets; theories of pricing; discussion of simple as well as complicated trading strategies (arbitrage, hedging and spread); applications for asset and risk management. 3 undergraduate hours. No graduate credit. 	FIN 300 or consent of instructor.	3 hours	
Fall	2023	FIN	Financial Modeling	418	The objective is to learn the fundamentals and practice building financial models using Microsoft Excel. By the end of the term, each student should be able to develop an understanding of any financial relationship and build that financial relationship into a model using the built-in functions of Excel. Financial modeling, by definition, requires significant work outside of the classroom. Models are introduced, demonstrated, and reviewed in class, but each student is expected to research and collect date, and to construct the models, prior to each week's class meeting. 3 undergraduate hours. 3 graduate hours. 	FIN 300 and FIN 321, or consent of instructor.	3 hours	
Fall	2023	FIN	Real Client Managed Portfolios	419	Applies academic topics on financial markets, security analysis/valuation and portfolio management to hands-on investment management. Students will form and review objectives, constraints, and investment policy as it relates to the client's money under management. They will purchase securities, monitor performance of the portfolio, and make recommendations for any adjustments to the holdings. They will be fully educated and responsible to the fiduciary and ethical standards of professional money management as guided by the CFA Institute. 3 undergraduate hours. No graduate credit. May be repeated to a maximum of 9 hours. 	FIN 321 or consent of instructor.	3 hours	
Fall	2023	FIN	Entrepreneurial Finance	423	The study of the financial side of entrepreneurial firms, including alternative methods of organization, sources of financing, use of financial statements as a management tool, financial planning, valuation methods, and exit strategies, all from the perspective of an owner, CEO or CFO. 3 undergraduate hours. 3 or 4 graduate hours. 	FIN 300 or consent of instructor.	3 OR 4 hours	
Fall	2023	FIN	Mergers and Acquisition	424	Focuses on identifying ways to increase firm value through mergers and acquisitions (M&A) and corporate restructurings. Surveys the drivers of success (failure) in M&A transactions and develop your skills in the design and evaluation of transactions. 3 undergraduate hours. No graduate credit. 	FIN 321.	3 hours	
Fall	2023	FIN	Private Equity/Venture Capital	425	Provides students with an understanding of the nature of the private equity market, the principal participants in this market, and how they function. 3 undergraduate hours. No graduate credit. 	FIN 321.	3 hours	
Fall	2023	FIN	Managing Market Risks for Financial Institutions	432	Covers management of tradable financial market risks in the context of financial institutions which incur these risks through their operations, product offerings, assets, and liabilities. We examine the models and methods in practice to measure and manage interest rate, equity, credit, and other market risks with a focus on using financial derivatives such as futures, swaps, and options. Course is applications-oriented with heavy emphasis on numerical modeling. 3 undergraduate hours. No graduate credit. 	FIN 300.	3 OR 4 hours	
Fall	2023	FIN	Corporate Risk Management	433	Case study course examining how corporations deal with pure risk. 3 undergraduate hours. 3 or 4 graduate hours. 	FIN 221, FIN 431, and FIN 434.	3 OR 4 hours	
Fall	2023	FIN	Employee Benefit Plans	434	Studies the purpose, structure, and financial aspects of employee benefit plans, including pensions, health insurance, life insurance, and disability plans. 3 undergraduate hours. No graduate credit. 	FIN 300 or consent of instructor.	3 hours	
Fall	2023	FIN	Personal Wealth Management	435	Studies personal wealth management techniques with an emphasis on life insurance products; covers life insurance policies, annuities, trusts, buy-sell arrangements, investing in stocks, bonds and mutual funds, banking and barrowing, purchasing residential and commercial real estate, income and estate taxation and management of personal financial portfolio. 3 undergraduate hours. No graduate credit. 	FIN 300.	3 hours	
Fall	2023	FIN	Real Estate Investment	445	An approach to the evaluation of real estate investment opportunities. Begins with the identification of the investor's goals and ends with an investment decision. Considers legal, physical, locational, and financial constraint, aggregate real estate and financial markets, tax considerations and investment criteria. 3 undergraduate hours. No graduate credit. 	FIN 300 or consent of the instructor, FIN 241 is recommended but not required.	3 hours	
Fall	2023	FIN	Investment Banking	463	The mechanics of financial statement analysis and ratio analysis; development of investment banking/corporate finance valuation models (including DCF, leveraged buyout and merger models) in order to determine the intrinsic value of companies and price investment banking deals. 3 undergraduate hours. No graduate credit. 	FIN 300 (FIN 300 is waived if student is admitted to FIN 391 IBA). Priority to finance majors.	3 hours	
Fall	2023	FIN	Applied Financial Analysis	464	Provides key building blocks necessary for many careers in finance. Designed to provide a practical approach to analyzing and interpreting complex financial statements to make decisions from a range of user perspectives, including investment banks, equity investors and commercial banks. Advanced financial analysis and forecasting will be applied through assignments and casework. There will be an emphasis on business writing skills commonly applied by finance professionals. 3 undergraduate hours. 4 graduate hours. Credit is not given for FIN 464 and FIN 490 CRNs 57268 and 57353. 	ACCY 201. Priority given to finance majors.	3 OR 4 hours	
Fall	2023	FIN	Senior Research	494	Research and reading course for students concentrating in finance, insurance, urban land economics, or related areas who meet one of the following requirements: (1) have a cumulative grade-point average of 3. 0 or better; (2) have attained Honors Day recognition in the junior year; or (3) have consent of instructor. May be taken by students in the college honors program in partial fulfillment of the honors requirements. 2 to 4 undergraduate hours. No graduate credit. May be repeated as topics vary. 	Senior standing.	2 TO 4 hours	
Fall	2023	FIN	Senior Research	495	Research and reading course for students concentrating in finance, insurance, urban land economics, or related areas. May be taken by students in the college honors program in partial fulfillment of the honors requirements. 2 to 4 undergraduate hours. No graduate credit. 	Senior standing; and cumulative grade-point average of 3.0 or better, Honors Day recognition in the junior year, or consent of instructor.	2 TO 4 hours	
Fall	2023	FIN	Introduction to Finance	500	Introduction to financial management and decision making. A customized course, designed to provide a survey of finance for graduate students who do not necessarily have previous training in the disciplines. Different sections of the course will cover different sets of topics. 	Graduate standing or consent of department.	2 OR 4 hours	
Fall	2023	FIN	Financial Economics	501	A firm's long-run value ultimately depends on its business fundamentals. This course covers micro- and macro-economic drivers of such fundamentals, such as consumer demand, market competitiveness, government regulation, interest rates, business cycles, and monetary policy. Also includes topics in risk and intertemporal decision-making. 2 or 4 graduate hours. No professional credit.		2 OR 4 hours	
Fall	2023	FIN	Quantitative Finance	502	Quantitative methods used for financial decision making. Topics include elements of statistics, mathematics, and specific analytical tools used in the study and practice of finance. Approved for letter or S/U grading. May be repeated in the same or separate terms to a maximum of 4 hours. Material may be split into two 8-week 2-hour modules, either across semesters or within the same semester; if so, credit is not given for taking the same half twice. 	Graduate standing.	2 OR 4 hours	
Fall	2023	FIN	Quantitative Finance II	503	This course covers topics in time series analysis with an emphasis on applications. It is intended to prepare MSF students for more advanced courses in finance. This course provides some basic knowledge of financial time series data. It also introduces models and methods widely used by academics and practitioners. The purpose of this course is to understand proper use and limitations of econometric methods in applied time series analysis. 2 graduate hours. No professional credit. Credit is not given for FIN 503 and FIN 580: Section QM2, (68387). This course covers topics in time series analysis with an emphasis on applications. It is intended to prepare MSF students for more advanced courses in finance. This course provides some basic knowledge of financial time series data. It also introduces models and methods widely used by academics and practitioners. The purpose of this course is to understand proper use and limitations of econometric methods in applied time series analysis. 	FIN 580 Section Q1M.	2 hours	
Fall	2023	FIN	Accounting for Financial Analysis	504	This course will develop an understanding of the most fundamental accounting concepts and provide key building blocks necessary for intermediate and advanced financial statement analysis. It is designed to provide a basic but practical application of financial analyses commonly performed by industry professionals. 2 graduate hours. No professional credit. Credit is not given for FIN 504 and FIN 580 (58811), Section FS.		2 hours	
Fall	2023	FIN	Investments	511	Introduction to investment analysis, including the theory and implementation of portfolio theory; empirical evidence on the performance of financial assets; evaluation of portfolio investment strategies; and the extension of diversification to international markets. 	FIN 520; or MBA 505 - Section G (Finance II); or consent of instructor.	2 OR 4 hours	
Fall	2023	FIN	Financial Derivatives	512	Introduction to options, futures, swaps and other derivative securities; examination of institutional aspects of the markets; theories of pricing; discussion of simple as well as complicated trading strategies (arbitrage, hedging, and spread); applications for asset and risk management. 	FIN 520; or MBA 505 - Section G (Finance II); or consent of instructor.	4 hours	
Fall	2023	FIN	Valuation of Complex Derivative Securities	514	Presents the main ideas and techniques of modern option pricing theory, including: the Black-Scholes-Merton analysis; risk-neutral probabilities and the probabilistic solution; numerical techniques for computing option prices; an introduction to term structure modeling; and perhaps other topics, at the discretion of the instructor. 	Prior or concurrent registration in FIN 513 or consent of instructor.	4 hours	
Fall	2023	FIN	Term Structure Models	516	Coverage of the fundamental models models of the term structure of interest rates, including their implementation, calibration, and use in valuing interest rate derivatives. Focus will be on the Black model and short rate models such as Black-Derman-Toy and Hull-White. 2 graduate hours. No professional credit. Approved for Letter and S/U grading. 	FIN 512; IE 525 OR Fin 514 OR FIN 513.	2 hours	
Fall	2023	FIN	Financial Modeling	518	The objective is to learn the fundamentals and practice building financial models using Microsoft Excel. By the end of the term, each student should be able to develop an understanding of any financial relationship and build that financial relationship into a model using the built-in function of Excel. Financial modeling, by definition, requires significant work outside of the classroom. Models are introduced, demonstrated, and reviewed in class, but each student is expected to research and collect data, and to construct the models, prior to each week's class meeting. 	MSF students only.	4 hours	
Fall	2023	FIN	Advanced Corporate Finance	521	Addresses both the theoretical and applied aspects of firms' financing decisions; topics include capital structure and cost of capital theories; mergers, acquisitions and leveraged buyouts; options, warrants, and convertibles; venture capital and initial public offerings; and pensions. 	FIN 520, plus either ECON 506 or BADM 572 or concurrent registration in either course; or MBA 505 - Section G (Finance II); or consent of instructor.	4 hours	
Fall	2023	FIN	Cases in Financial Strategy	522	Course focuses on financial management cases.  Provides students with an active learning experience. Case work is based on concepts learned in introductory corporate finance. Topics discussed include measuring and interpreting cash flow performance, financial forecasting and turnaround management ; capital investment and cost of capital; and capital structure, dividend policy; and firm valuation. 	FIN 520, plus either ECON 506 or BADM 572 or concurrent registration in either course; or MBA 505 - Section G (Finance II); or consent of instructor.	4 hours	
Fall	2023	FIN	Investment Banking	526	Provides key building blocks necessary for a career in investment banking, valuation and other related fields. It is designed to provide a practical application of financial statement analysis, modeling, valuation, and presentation skills commonly performed by industry professionals. The course has three major parts. The first focuses on the mechanics of financial statement analysis, ratio analysis, and financial model building. The second applies the financial statements and forecasts within the context of company valuation, utilizing common industry techniques. In the third part of the course, we will employ these valuation techniques in common investment-banking deliverables such as pitch books and fairness opinions. 4 graduate hours. No professional credit. Credit is not given for FIN 526 if the student has received credit for FIN 563 Behavioral Finance (67127, 67128). 	Previous introductory accounting and finance coursework recommended. Graduate students only.	4 hours	
Fall	2023	FIN	Applied Financial Analysis	529	Provides key building blocks necessary for many careers in finance. Designed to provide a practical approach to analyzing and interpreting complex financial statements to make decisions from a range of user perspectives, including investment banks, equity investors and commercial banks. Advanced financial analysis and forecasting will be applied through assignments and casework. There will be an emphasis on business writing skills commonly applied by finance professionals. 4 graduate hours. No professional credit. Credit is not given for FIN 529 if the student has received credit for FIN 564 Applied Financial Analysis (71521, 71522, 73395, 75067, 75850). 	ACCY 501 or equivalent. A baseline understanding of financial accounting is expected of all students coming into this course.	4 hours	
Fall	2023	FIN	Foundations in Risk Management	530	This course introduces risk management including basic concepts and techniques of pure risk and financial risk management. Corporate hazard risk management including insurance and securitization of pure risks will be covered in detail. Insurer risk management will be examined including reinsurance, loss reserving, underwriting of risks, and catastrophic risk management. Students will also be introduced to Enterprise Risk Management (ERM). 2 graduate hours. No professional credit. 	MSF and MBA students only.	2 hours	
Fall	2023	FIN	Managing Market Risks for Financial Institutions	532	Covers management of tradable financial market risks in the context of financial institutions which incur these risks through their operations, product offerings, assets, and liabilities. We examine the models and methods in practice to measure and manage interest rate, equity, credit, and other market risks with a focus on using financial derivatives such as futures, swaps, and options. Course is applications-oriented with heavy emphasis on numerical modeling. 4 graduate hours. No professional credit. Credit is not given if the student has received graduate credit in FIN 432.		4 hours	
Fall	2023	FIN	Wealth Management	535	This course studies personal wealth management techniques with an emphasis on life insurance products; covers life insurance policies, annuities, trusts, buy-sell arrangements, investing in stocks, bonds and mutual funds, banking and borrowing, purchasing residential and commercial real estate, income and estate taxation and management of personal financial portfolio. The course also allows students to build a wealth management plan based on a case scenario. 2 or 4 graduate hours. No professional credit.		2 OR 4 hours	
Fall	2023	FIN	Real Estate Investment	545	Real estate accounts for one-third of the world's capital assets. This course provides students with a comprehensive understanding of real estate valuation, cycles, markets, investments, and decision-making. The bulk of the course covers income-producing commercial property, although we will also discuss residential housing. This course provides a unified finance based framework to answer real estate investment decision making problems in the real world. 4 graduate hours. No professional credit. 	Fin 541 is recommended but not required. Graduate students only.	4 hours	
Fall	2023	FIN	Big Data Analytics in Finance for Predictive and Causal Analysis	550	"Recent trends in ""big data"" present both enormous challenges and opportunities for businesses. This course introduces concepts and techniques of data analytics and shows how they can be used for making predictions, and to distinguish between correlation and causation, in the context of financial and economic analysis. Covered tools include data visualization, machine learning, regression analysis, randomized trials, A/B testing, and quasi-experiments. Students will apply these tools using R programming within the Amazon Web Services cloud computing environment. 4 graduate hours. No professional credit. Credit is not given for FIN 550 if the student has received credit for FIN 510 Big Data Analytics in Finance for Predictive and Causal Analysis (71511, 71512, 71513, 72873, 72874, 72875). "	Consent of Instructor.	4 hours	
Fall	2023	FIN	Applied Financial Econometrics	552	The aim of this course is to equip students with a working knowledge of important econometric techniques necessary to understand and interpret financial market data. The course covers time-series and cross-sectional properties of asset returns, predictability of equity returns, empirical tests of asset pricing models, modelling time-varying volatility. The interplay between asset pricing theories, statistical assumptions and relevant econometric techniques is explored in the context of published empirical work, including classical papers as well as a more recent research. 4 graduate hours. No professional credit. Credit is not given for FIN 552 and FIN 580 Section DK2 (72033) or FIN 580 Section DK (70390). 	FIN 511.	4 hours	
Fall	2023	FIN	Machine Learning in Finance	553	Machine Learning includes the design and the study of algorithms that can learn from experience, improve their performance and make predictions. In this course students will learn the foundations of Machine Learning and explore state of the art algorithms and tools. Topics include supervised learning (neural networks, support vector machines), unsupervised learning (clustering, dimensionality reduction) and reinforcement learning (dynamic programming, Q-learning, SARSA, policy gradient methods). Applications include option pricing, portfolio selection and credit card fraud detection. Students will gain practical experience implementing these models in Python with frequently used packages such as TensorFlow. 2 or 4 graduate hours. No professional credit. Credit is not given for FIN 553 and FIN 580: Section V2, (72206); or FIN 580: Section V1 (72205).		2 OR 4 hours	
Fall	2023	FIN	Algorithmic Trading Systems Design and Testing	554	Provides a detailed research process and tools for replicating, assessing, conceptualizing, and developing systematic trading strategies. Students will apply their knowledge in hands-on projects to replicate and evaluate existing research and to create and evaluate a new strategy model. Students will use the R Language for Statistical Computing and Graphics to replicate academic research and evaluate the claims made in papers. Students will also construct a non-trivial strategy from scratch, evaluate the power of each of its components, and examine the likelihood of overfitting. Projects are designed to mimic as closely as possible the day-to-day research activities of working strategy quants, so that students will have practical experience building, testing, and evaluating quantitative models. 4 graduate hours. No professional credit. Credit is not given if student received credit in FIN 580 FIN 580 Basics of Trading Algorithm Design CRN 46818 and/or FIN 580 Analysis and Testing of Trading Algorithms CRN 46819. 	Restricted to students in the MSFE Program.	4 hours	
Fall	2023	FIN	Financial Innovation	555	Recent years have seen the rapid development of the fintech sector, bringing together technology and data, startups and established firms in ways that are likely to shape and disrupt financial markets going forward. This course will involve a mix of lectures, guest speakers, and class discussion of breaking developments and new ventures. Some of the fintech sectors we will discuss include consumer finance, payments, investing and trading, cryptocurrencies and blockchain, and privacy and regulatory concerns. Because of the innovative and rapidly evolving nature of the fintech sector, this class will depend heavily on student engagement and class discussion. Students should be prepared to participate actively, and not just sit and listen to lectures. Each student will participate in two group presentations on the fintech sector, at the middle and end of the semester. A group project is due at the end of the semester, detailing a fintech startup idea, an analysis of an existing fintech business, or an analysis of a fintech sector. 4 graduate hours. No professional credit. Credit is not given for FIN 555 and FIN 580: Section FT2 (72037).		4 hours	
Fall	2023	FIN	Algorithmic Market Microstructure	556	Introduces the modern theoretical, empirical and institutional foundations of market microstructure and trading activity, with an emphasis on applications to algorithmic and high-frequency trading. The first part of the course addresses market microstructure and the algorithmic implementation of traditional microstructure-inspired tasks such as minimizing execution costs. The second part of the course proceeds to examine actual algorithmic strategies, and ultimately high-frequency trading. Recurrent themes throughout the course will be the use of economic theory to simplify computationally challenging problems, and the use of theory-driven structural models to construct more robust trading algorithms. 4 graduate hours. No professional credit. Credit is not given for FIN 556 if the student has received credit for FIN 566 Algorithmic Market Microstructure (67130, 68314). 	Restricted to students in the MS in Financial Engineering program.	4 hours	
Fall	2023	FIN	Data Science and Python for Finance	558	Focuses on introducing Python for financial analysis. It provides a detailed understanding of Python basics. Students will apply Python in solving problems in corporate finance and performing investment analysis. Topics include capital budgeting decisions, equity valuation, risk and return, portfolio optimization, and technical trading strategies. 2 graduate hours. No professional credit. Credit is not given toward graduation for FIN 558 if credit for FIN 580 CRN 60285, 60176, 66703 has been given.		2 hours	
Fall	2023	FIN	Advanced Data Science and Python for Finance	559	Provides an advanced understanding of Python and data analytics tools to solve problems in finance. Students will analyze data and solve real-world problems such as investigating market responses to earnings announcements, comparing value and growth investing, forecasting stock prices, predicting bankruptcy, and estimating house prices. 2 graduate hours. No professional credit.		2 hours	
Fall	2023	FIN	The Finance of Mergers and Acquisitions	572	Focuses on the theory and practice of mergers and acquisitions (M&A), with a focus on the Finance. The Finance of M&A uses tools from different areas of Finance to help managers and investment bankers design successful M&A deals. In particular, we will learn to value and price M&A deals and how to choose the optimal financing mix for an M&A deal. The course focuses on all the major types of M&A deals including strategic M&A, private equity leveraged buyouts (LBOs), and restructuring deals such as spinoffs and asset transfers. The course will benefit any student who desires to increase their ability to understand and execute M&A deals, including (but not limited to), entrepreneurs, consultants, bankers, investors, analysts, corporate managers, marketers, strategists, and deal-makers of all types. The course will also deepen students' understanding of financial modeling and capital structure, both in theory and practice. 4 graduate hours. No professional credit. 	It is recommended that students complete ACCY 500, FIN 570, and BADM 572 (or equivalents) before enrolling in this course. Requires that students have a grasp of core accounting principles and have a basic knowledge of concepts in finance (time value of money, net present value, cost of capital and a basic notion of capital structure). Students should also be comfortable with work that is quantitatively focused, and have a basic notion of Statistics (means, medians, standard deviation, and regression tools).	4 hours	
Fall	2023	FIN	Microeconomics for Business	574	Microeconomics for professional business students. Shows relevance of value and distribution theories for business managers. Includes demand and supply theory, consumer choice, production and cost theory, industrial structure, and wage and capital theory. Intended for students in the Master of Business Administration program. 4 graduate hours. No professional credit. Credit is not given toward graduation for FIN 574 and ECON 302, ECON 500 or ECON 528. 	Enrollment is often restricted to students in specialized programs.	4 hours	
Fall	2023	FIN	Special Topics in Finance	580	Lectures and discussions relating to new areas of interest. See class schedule for topics and prerequisites. 0 to 4 graduate hours. No professional credit. Approved for Letter and S/U grading. May be repeated to a maximum of 18 hours in a semester; may be repeated to a maximum of 32 hours in subsequent semesters. Credit is not given for FIN 528 and FIN 580 (66393), Section ADF. 	Varies by section.	0 TO 4 hours	
Fall	2023	FIN	Professional Development	581	Effective communication skills are one of the most sought-after traits of business leaders across industries and throughout the world. Understanding the world around you, as well as communicating clearly and persuasively is critical to your success as a student, as an employee and as a leader in the business world. These skills will help establish your own credibility and lead you to become an effective leader among your peers and colleagues. This course will introduce successful strategies for structuring both written and verbal communication in the business world, with an eye toward the specific outcomes listed below. 1 or 2 graduate hours. No professional credit. 	Restricted to MSF and MSFE students.	1 OR 2 hours	
Fall	2023	FIN	Project Management	582	This course is all about learning by doing. It is designed to assist you in your real-world experience as you work in a team with a real organization to help solve a problem the organization is facing. In class, we will help you gain the skills you will need to successfully complete the project. If you work hard in this class, you will have a compelling story to tell as you interview for internships and jobs and you will gain skills that will help you succeed in your career. 1 to 2 graduate hours. No professional credit. Approved for S/U grading only. 	Concurrent enrollment in FIN 583 is required. Restricted to MSF students.	1 TO 2 hours	
Fall	2023	FIN	Practicum	583	A semester-long, typically corporate-sponsored, team project for MSFE and MSF students that is usually completed by the end of the third semester of study. The goals of the Practicum are: a) to use learned or new tools on real world projects of interest to the corporate sponsor; b) to replicate as closely as possible the environment of the working world where students will soon find themselves employed; c) to work cohesively with other members of a team so as to efficiently produce the desired project results; and d) to be able to communicate effectively with technical and non-technical audiences, which may include the sponsor and/or co-workers. 1 to 4 graduate hours. No professional credit. 	Restricted to MSF and MSFE students.	1 TO 4 hours	
Fall	2023	FIN	Applied Portfolio Management	589	Applies academic topics on financial markets, security analysis/valuation and portfolio management to hands-on investment management. Students will form and review objectives, constraints, and investment policy as it relates to the client's money under management. They will purchase securities, monitor performance of the portfolio, and make recommendations for any adjustments to the holdings. They will be fully educated and responsible for the fiduciary and ethical standards of professional money management as guided by the CFA Institute. 4 graduate hours. No professional credit. May be repeated to a maximum of 8 hours. 	Credit or concurrent enrollment in FIN 511.	4 hours	
Fall	2023	FIN	Individual Study and Research	590	Directed reading and research. 0 to 4 graduate hours. No professional credit. Approved for Letter and S/U grading. Course may be repeated up to 16 hours.		0 TO 4 hours	
Fall	2023	FIN	Theory of Finance	591	Examines theoretical frameworks for financial decision making under certainty and uncertainty, as well as perfect and imperfect capital markets; discusses state preference, mean-variance, and continuous time models; emphasizes the structure of individual utility functions. 	ECON 502; STAT 400; and admission to doctoral program or consent of instructor.	4 hours	
Fall	2023	FIN	Empirical Analysis in Finance	592	Designed to train the student in the conduct of empirical work in Finance. Covers the major tools and databases needed to replicate the results of published academic papers and to conduct original research. 	Enrollment in the doctoral program in Finance or consent of instructor.	2 OR 4 hours	
Fall	2023	FIN	Seminar in Corporate Finance	594	Theories, paradigms, and models of nonfinancial corporations; investigates the theoretical foundations and empirical evidence regarding corporate resource allocation, capital structure decisions, and dividend policies; covers in detail contingent claim analysis, signaling theory, and agency theory. 	FIN 591 and ECON 507.	4 hours	
Fall	2023	FIN	Thesis Research	599	Required for those writing master's and doctoral theses in finance. 0 to 16 graduate hours. No professional credit. Approved for S/U grading only. May be repeated to a maximum of 16 hours.		0 TO 16 hours	
Fall	2023	FLTE	Learning to Teach World Language	475	Course focuses on pedagogy, teacher knowledge and efficacy, and the development of professional dispositions for use in K-12 teaching. Emphasis is on preparing for the edPTA through lesson planning and assessment development. Includes multiple teaching components and 55 hours of early field experience. 4 undergraduate hours. No graduate credit. 	Successful completion of FLTE 471.	4 hours	
Fall	2023	FLTE	Secondary World Language Teaching	478	Practical aspects of high school teaching and learning in the 21st century. Emphasis on teaching world languages at the secondary level. Majors topics include teaching with technology, unit planning, instructional methods, assessment development, and classroom management. In the fall semester, students enroll for 3 hours. In the spring semester, students enroll for 1 hour. At the end of the fall semester, students will have completed all Early Field Experiences in accordance with the ISBE/CoTE requirement that teacher candidates fulfill all EFE hours prior to Student Teaching. 1 or 3 undergraduate hours. No graduate credit. May be repeated in separate semesters to a maximum of 4 hours. 	Successful completion of FLTE 471 and FLTE 475.	1 OR 3 hours	
Fall	2023	FR	Elementary French I	101	Four-skill course leading toward elementary proficiency in oral expression, listening comprehension, reading, writing, and cultural understanding. Online language laboratory and internet assignments required.		4 hours	
Fall	2023	FR	Elementary French II	102	Continuation of FR 101. Introduces cultural and supplementary enrichment materials; requires online laboratory sessions as in FR 101. 	FR 101 or one year of high school French.	4 hours	
Fall	2023	FR	Intermediate French I	103	Continuation of FR 102. Introduces students to a full range of structures to complete their initial study of the grammatical system; emphasizes the development of all four skills and cultural understanding through readings and audiovisual enrichment materials. Online language laboratory and internet assignments required. Students planning to major or minor in French should take FR 133 in lieu of FR 103. 	FR 102 or equivalent, or a placement score showing high school achievement equivalent to FR 102.	4 hours	
Fall	2023	FR	Intermediate French II	104	Continuation of FR 103. Comprehensive grammar review with emphasis on oral expression and the continued development of reading and written skills. Completion satisfies graduation requirement in the College of Liberal Arts and Sciences. Students planning to take advanced French courses should take FR 134 in lieu of FR 104. 	FR 103 or equivalent, or a placement score showing high school achievement equivalent to FR 103.	4 hours	
Fall	2023	FR	Exploring Paris	156	Examines the role of Paris in French culture through literature, art, and film. We will consider the city of Paris from its earliest beginnings to the modern era, as a physical, social, and symbolic reality. Through literature, art, and film we will explore the ways in which Paris is at the center of French political and intellectual life. Additionally, close attention will be paid to historical and political developments and their representation. All readings are in English and the course is conducted in English.		3 hours	Cultural Studies - Western,Humanities – Lit & Arts
Fall	2023	FR	Undergraduate Open Seminar	199	Credit: 1 to 5 hours. May be repeated.		1 TO 5 hours	
Fall	2023	FR	French in Conversation	205	Developing speaking and listening skills, focusing on conversation about everyday topics in multiple contexts. 	FR 104 or FR 134 or equivalent.	2 hours	
